local_sector,quality_result,name,code,market,price,pe,pb,market_cap_yi,float_market_cap_yi,change_pct,turnover_rate,high_52w,low_52w
家电与消费电子,通过,海尔智家,600690,SH,21.86,10.95,1.64,2049.95,1366.91,-0.27,0.49,24.11,19.73
家电与消费电子,通过,海康威视,002415,SZ,35.77,21.95,4.14,3278.27,3235.90,0.39,1.00,39.19,32.07
家电与消费电子,豁免C通过,立讯精密,002475,SZ,61.19,27.46,5.41,4727.10,4482.21,3.43,1.65,65.08,53.24
家电与消费电子,通过,公牛集团,603195,SH,38.80,16.85,4.90,699.74,698.46,0.31,0.15,42.55,34.81
家电与消费电子,通过,石头科技,,,,,,,,,,,
家电与消费电子,通过,苏泊尔,002032,SZ,44.07,17.41,6.98,352.49,352.33,-1.89,0.44,49.41,40.43
家电与消费电子,通过,老板电器,002508,SZ,15.65,12.10,1.30,147.88,146.10,0.64,1.08,17.11,14.00
家电与消费电子,条件通过,大华股份,002236,SZ,16.84,14.11,1.49,550.54,402.67,1.38,1.44,18.27,14.95
金融,通过,招商银行,600036,SH,38.91,6.51,0.89,9813.04,8026.72,0.52,0.39,42.58,34.84
金融,通过,中国平安,601318,SH,54.30,7.40,1.00,9832.45,5788.42,0.65,0.69,59.35,48.56
金融,豁免通过,宁波银行,002142,SZ,31.85,6.99,0.93,2103.24,2101.92,0.95,0.47,34.71,28.40
金融,通过,兴业银行,601166,SH,18.26,4.99,0.47,3864.34,3864.34,0.44,0.42,20.00,16.36
金融,通过,工商银行,601398,SH,7.68,7.37,0.71,27372.00,20706.22,1.05,0.12,8.36,6.84
金融,通过,建设银行,601939,SH,10.24,7.84,0.77,26787.88,982.39,0.20,0.77,11.24,9.20
金融,通过,东方财富,300059,SZ,20.28,24.48,3.35,3208.74,2708.05,1.00,2.12,24.10,16.06
金融,通过,中国人寿,601628,SH,41.73,8.15,2.03,11794.86,8689.66,1.78,0.20,45.10,36.90
金融,通过,中国太保,601601,SH,32.81,5.85,1.02,3156.43,2245.86,0.18,0.77,36.03,29.48
高端制造与军工,通过,三一重工,600031,SH,19.97,21.81,2.06,1836.24,1692.34,0.60,0.95,21.84,17.87
高端制造与军工,通过,中航光电,002179,SZ,34.10,37.30,3.10,716.18,714.88,-0.61,1.02,37.74,30.88
高端制造与军工,通过,紫光国微,002049,SZ,65.20,33.53,4.05,553.96,553.88,-1.57,2.84,72.86,59.62
高端制造与军工,豁免A通过,绿的谐波,,,,,,,,,,,
化工与新材料,通过（标注风险）,万华化学,600309,SH,75.49,17.95,2.20,2363.19,2363.19,2.01,1.53,81.40,66.60
化工与新材料,通过,华鲁恒升,600426,SH,21.42,15.81,1.76,589.04,588.96,0.28,2.21,23.50,19.22
化工与新材料,通过,北新建材,000786,SZ,19.51,11.58,1.24,332.11,329.62,1.09,0.85,21.23,17.37
化工与新材料,通过,中国巨石,600176,SH,38.36,40.18,4.87,1535.60,1523.50,-0.88,4.90,42.57,34.83
化工与新材料,通过,新和成,002001,SZ,31.76,14.54,2.99,976.12,964.50,3.82,1.32,33.65,27.53
化工与新材料,通过,金禾实业,002597,SZ,19.12,54.05,1.39,108.66,108.46,0.84,0.81,20.86,17.06
电力与资源,通过,长江电力,600900,SH,28.94,19.62,3.40,7081.10,7081.10,-0.52,0.44,32.00,26.18
电力与资源,通过,中国神华,601088,SH,45.32,19.06,2.05,9829.65,7473.74,-0.26,0.19,49.98,40.90
电力与资源,豁免C通过,紫金矿业,601899,SH,33.06,14.25,4.64,8790.89,6810.95,2.67,2.13,35.42,28.98
电力与资源,通过,陕西煤业,601225,SH,25.25,15.14,2.62,2447.99,2447.99,1.45,0.53,27.38,22.40
电力与资源,通过,华能水电,600025,SH,10.17,22.19,2.82,1894.78,1894.78,-0.49,0.16,11.24,9.20
电力与资源,通过,兖矿能源,600188,SH,22.15,21.84,2.91,2223.16,1320.44,-0.94,1.48,24.60,20.12
电力与资源,通过,国投电力,600886,SH,15.12,16.28,1.75,1210.28,1127.07,-1.18,0.75,16.83,13.77
软件通信与服务,通过,金山办公,,,,,,,,,,,
软件通信与服务,通过,中国移动,600941,SH,94.43,15.08,1.44,20475.91,852.48,0.36,1.03,103.50,84.68
软件通信与服务,豁免C通过,顺丰控股,002352,SZ,33.90,15.65,1.81,1784.94,1626.90,-0.79,0.33,37.59,30.75
软件通信与服务,豁免B通过,广联达,002410,SZ,8.79,35.46,2.55,145.21,138.01,-1.01,1.95,9.77,7.99
软件通信与服务,通过,分众传媒,002027,SZ,5.15,20.66,5.86,743.77,743.77,-0.19,0.62,5.68,4.64
软件通信与服务,通过,恒生电子,600570,SH,21.51,30.43,4.25,407.32,407.32,-0.05,1.05,23.67,19.37
