name,code,market,subsector,entry_category,note,quote_name,price,prev_close,open,volume_lot,quote_time,change,change_pct,high,low,turnover_amt_wan,turnover_rate,pe,float_market_cap_yi,market_cap_yi,pb,high_52w,low_52w,dividend_yield,ttm_pe2,np_2025,np_2026q1,np_2024,rev_2025,rev_2026q1,rev_2024,ocf_2025,ocf_2026q1,ocf_2024,roe_2025,roe_2026q1,roe_2024,debt_asset_2025,debt_asset_2026q1,debt_asset_2024,ocf_np_2025,ocf_np_2026q1,ocf_np_2024,chg_90d_pct,avg_amount_90d_lot,last_hist_close,np_2025_yi,np_2026q1_yi,np_2024_yi,rev_2025_yi,rev_2026q1_yi,rev_2024_yi,ocf_2025_yi,ocf_2026q1_yi,ocf_2024_yi,ocf_np_2025_yi,ocf_np_2026q1_yi,ocf_np_2024_yi,financial_error
中国核电,601985,A股-SH,核电/新能源,A/C,核电运营龙头之一,中国核电,8.86,8.86,8.86,947687,20260706161441,0.00,0.00,8.91,8.77,83834,0.50,22.14,1673.06,1822.32,1.52,9.75,7.97,6.80,22.07,9304211536.74,2064416127.86,8777342050.34,82075495244.95,18924861299.78,77272058526.64,37408396868.53,8130955167.16,40720532971.06,8.21,1.73,9.44,69.006069,69.440745,68.26504,4.020587,3.938622,4.639278,-1.01,1352246.0,8.86,93.04,20.64,87.77,820.75,189.25,772.72,374.08,81.31,407.21,0.0,0.0,0.0,
华电国际,600027,A股-SH,火电,A/B,火电低PE，煤价与电价敏感,华电国际,4.54,4.54,4.53,653455,20260706161459,0.00,0.00,4.56,4.47,29557,0.71,8.98,418.39,527.17,1.09,4.99,4.09,8.27,7.37,6070315000.0,1788601000.0,5987228000.0,126012591000.0,30473260000.0,141502221000.0,27220563000.0,5642927000.0,19457117000.0,11.81,3.39,11.42,61.36395,59.707251,61.550789,4.484209,3.154938,2.864687,-4.02,1432493.0,4.54,60.7,17.89,59.87,1260.13,304.73,1415.02,272.21,56.43,194.57,0.0,0.0,0.0,
华能国际,600011,A股-SH,火电,A/B,火电龙头，负债与燃料成本压力,华能国际,7.01,7.10,7.07,1121211,20260706161441,-0.09,-1.27,7.08,6.95,78671,1.02,7.91,770.94,1100.44,1.73,7.81,6.39,10.35,6.14,14409553809.0,4483918670.0,10135493813.0,229288057955.0,56782594376.0,245550923498.0,67212899994.0,12436770516.0,50530261245.0,19.04,5.78,13.14,65.262893,66.323747,65.39996,4.664467,2.773638,4.985476,-0.71,1922594.0,7.01,144.1,44.84,101.35,2292.88,567.83,2455.51,672.13,124.37,505.3,0.0,0.0,0.0,
国电电力,600795,A股-SH,综合电力,A/B,大型电力平台,国电电力,4.74,4.72,4.72,896663,20260706161436,0.02,0.42,4.74,4.67,42203,0.50,12.53,845.41,845.41,1.38,5.19,4.25,11.05,15.12,7161419062.53,1397987087.69,9831015730.47,170243994133.7,39168727957.99,179182007412.53,53668239032.25,8853648704.23,55639607993.49,12.283,2.32,18.598,73.447387,73.009755,73.404516,7.494078,6.33314,5.659599,-2.47,2038937.0,4.74,71.61,13.98,98.31,1702.44,391.69,1791.82,536.68,88.54,556.4,0.0,0.0,0.0,
浙能电力,600023,A股-SH,火电,A/B,地方火电平台,浙能电力,5.41,5.47,5.40,346283,20260706161456,-0.06,-1.10,5.45,5.35,18699,0.26,9.80,725.41,725.41,0.94,6.02,4.92,9.59,19.15,7528041660.9,947188311.55,7760250070.85,79553931304.55,15662169321.92,88008114048.05,11453605477.23,4330088760.36,13709261405.87,10.1,1.23,11.07,42.514418,41.397,43.654174,1.521458,4.571518,1.767854,-1.1,840563.0,5.41,75.28,9.47,77.6,795.54,156.62,880.08,114.54,43.3,137.09,0.0,0.0,0.0,
三峡能源,600905,A股-SH,新能源发电,A/C,风光运营，估值较高,三峡能源,3.80,3.77,3.77,932604,20260706161456,0.03,0.80,3.81,3.74,35339,0.33,47.07,1086.33,1086.33,1.21,4.15,3.39,2.57,26.11,3714396619.2,1040089057.28,6109507165.97,28399420251.56,6948044201.27,29717044357.67,20937957450.71,3881181706.1,18894913878.1,4.23,1.17,7.22,71.911985,71.971931,70.956899,5.636974,3.731585,3.09213,-9.09,1756135.0,3.8,37.14,10.4,61.1,283.99,69.48,297.17,209.38,38.81,188.95,0.0,0.0,0.0,
申能股份,600642,A股-SH,综合电力/燃气,A/B,上海公用事业平台,申能股份,8.82,8.96,9.03,235431,20260706161451,-0.14,-1.56,9.03,8.78,20882,0.48,11.39,431.63,431.66,1.13,9.86,8.06,8.92,13.70,4013390354.76,787908211.96,3944332272.25,28029356985.68,6818149406.86,29619325998.9,8696194340.5,2381384855.18,7164477967.39,10.79,2.03,11.33,54.770583,54.13399,54.827831,2.166795,3.022414,1.816398,-1.23,337368.0,8.82,40.13,7.88,39.44,280.29,68.18,296.19,86.96,23.81,71.64,0.0,0.0,0.0,
深圳能源,000027,A股-SZ,综合电力/环保,A/B,区域电力环保平台,深圳能源,6.31,6.27,6.26,316050,20260706161421,0.04,0.64,6.38,6.23,19912,0.66,15.00,300.19,300.19,0.92,6.90,5.64,3.78,6.01,2103342043.54,1249359677.23,2005148708.38,43429622180.48,9949902840.31,41213608804.88,11817010849.29,1209111033.42,9611803315.56,4.66,3.54,4.47,61.991844,60.895888,63.93097,5.618206,0.967784,4.793561,-8.55,552996.0,6.31,21.03,12.49,20.05,434.3,99.5,412.14,118.17,12.09,96.12,0.0,0.0,0.0,
皖能电力,000543,A股-SZ,火电,A/B,区域火电平台,皖能电力,7.84,7.82,7.80,237029,20260706161427,0.02,0.26,7.85,7.71,18483,1.05,8.27,177.72,177.72,1.01,8.60,7.04,12.24,10.00,2149137046.85,444255383.61,2063582145.23,27305760344.59,5996930903.12,30093871084.44,5390412751.81,1714180454.4,3757230590.57,12.95,2.54,13.07,62.722374,62.78332,65.006937,2.508175,3.858547,1.820732,-6.56,541606.0,7.84,21.49,4.44,20.64,273.06,59.97,300.94,53.9,17.14,37.57,0.0,0.0,0.0,
中国石油,601857,A股-SH,油气,A/C,央企油气上游与炼化,中国石油,9.09,8.97,8.90,1376047,20260706161444,0.12,1.34,9.14,8.85,124589,0.08,10.52,14718.72,16636.61,1.05,9.87,8.07,9.74,8.61,157302000000.0,48332000000.0,164676000000.0,2864469000000.0,736383000000.0,2937981000000.0,412510000000.0,84472000000.0,406532000000.0,10.1,3.0,11.1,36.367143,39.584058,37.891076,2.622407,1.747744,2.468677,-24.69,1776034.0,9.09,1573.02,483.32,1646.76,28644.69,7363.83,29379.81,4125.1,844.72,4065.32,0.0,0.0,0.0,
中国石化,600028,A股-SH,炼化/油气,A/C,炼化营销龙头，上游弹性较弱,中国石化,4.82,4.70,4.70,2906756,20260706161438,0.12,2.55,4.84,4.67,138819,0.31,16.40,4567.07,5828.61,0.71,5.17,4.23,4.27,8.57,31809000000.0,17006000000.0,50313000000.0,2783583000000.0,706695000000.0,3074562000000.0,162496000000.0,-5558000000.0,149360000000.0,3.86,2.04,6.19,54.084051,55.893068,53.170252,5.108491,-0.326825,2.968616,-18.17,2768057.0,4.82,318.09,170.06,503.13,27835.83,7066.95,30745.62,1624.96,-55.58,1493.6,0.0,-0.0,0.0,
中国海油,600938,A股-SH,海上油气,A/C,海上油气上游龙头,中国海油,28.27,27.69,27.53,634630,20260706161443,0.58,2.09,28.43,27.38,178088,2.12,10.78,845.27,13436.72,1.61,30.46,24.92,14.89,8.58,122082000000.0,39144000000.0,137936000000.0,398220000000.0,116079000000.0,420506000000.0,209042000000.0,55148000000.0,220891000000.0,15.64,4.77,19.36,26.705438,27.092482,29.049561,1.712308,1.408849,1.601402,-26.84,529775.0,28.27,1220.82,391.44,1379.36,3982.2,1160.79,4205.06,2090.42,551.48,2208.91,0.0,0.0,0.0,
宝丰能源,600989,A股-SH,煤化工,A/C,煤化工龙头，非纯资源股,宝丰能源,21.13,20.54,20.54,896902,20260706161435,0.59,2.87,21.74,20.35,189319,1.22,12.32,1549.54,1549.54,3.16,22.59,18.49,24.13,10.58,11350295509.65,3660674643.2,6337676311.63,48037593136.78,13236777393.86,32982889902.49,16851078343.67,5563194631.76,8897635369.03,24.84,7.28,15.55,46.324366,44.855378,51.983881,1.484637,1.519718,1.403927,-26.5,935188.0,21.13,113.5,36.61,63.38,480.38,132.37,329.83,168.51,55.63,88.98,0.0,0.0,0.0,
中国铝业,601600,A股-SH,铝,A/C,铝央企龙头,中国铝业,8.48,8.33,8.41,3131334,20260706161440,0.15,1.80,8.70,8.41,267859,2.37,9.92,1119.64,1454.74,1.80,9.16,7.50,18.19,6.58,12673918000.0,5527245000.0,12394500000.0,241125217000.0,58494089000.0,237109210000.0,34092341000.0,10881417000.0,32809274000.0,17.64,7.11,19.25,46.008842,43.265473,48.104185,2.68996,1.968687,2.645706,-26.64,2914626.0,8.48,126.74,55.27,123.94,2411.25,584.94,2371.09,340.92,108.81,328.09,0.0,0.0,0.0,
山东黄金,600547,A股-SH,黄金,A/B,黄金资源，成本与金价敏感,山东黄金,25.80,26.08,25.79,1106314,20260706161449,-0.28,-1.07,27.33,25.55,291715,3.06,23.05,932.53,1189.36,3.72,28.69,23.47,11.22,20.57,4739393120.72,1445657595.58,2951551189.32,104287391583.12,32515977242.33,82517993538.3,21492754843.56,6095416233.22,13339797529.06,15.59,4.2,10.85,62.212794,62.56822,63.544106,4.534917,4.216362,4.519588,-37.27,594763.0,25.8,47.39,14.46,29.52,1042.87,325.16,825.18,214.93,60.95,133.4,0.0,0.0,0.0,
中金黄金,600489,A股-SH,黄金,A/B,央企黄金资源,中金黄金,20.60,20.34,19.88,1494718,20260706161447,0.26,1.28,21.49,19.88,311996,3.08,15.91,998.55,998.55,3.04,22.37,18.31,19.13,10.49,4933582739.46,2380516073.93,3385988472.81,79074657048.6,22587526108.88,65556150182.9,8375244370.14,-2168479841.98,7890175064.67,17.05,7.54,12.71,41.751774,43.012988,41.457343,1.697598,-0.910928,2.330242,-24.43,736339.0,20.6,49.34,23.81,33.86,790.75,225.88,655.56,83.75,-21.68,78.9,0.0,-0.0,0.0,
江西铜业,600362,A股-SH,铜,A/C,铜冶炼+资源，冶炼属性稀释,江西铜业,41.94,43.28,43.28,626934,20260706161440,-1.34,-3.10,44.79,41.85,269552,3.02,18.16,870.36,1452.27,1.73,47.61,38.95,9.51,12.89,7130191864.0,2817563002.0,6962197980.0,544623484060.0,139124071797.0,516608964177.0,-6914101315.0,5508470361.0,2427913374.0,8.96,3.41,9.58,56.952661,62.470532,54.536819,-0.969693,1.955047,0.360209,-5.86,588820.0,41.94,71.3,28.18,69.62,5446.23,1391.24,5166.09,-69.14,55.08,24.28,-0.0,0.0,0.0,
云铝股份,000807,A股-SZ,铝,A/B,水电铝，周期强,云铝股份,22.88,22.42,22.76,988892,20260706161454,0.46,2.05,23.46,22.56,227581,2.85,9.14,793.46,793.47,2.31,24.66,20.18,24.35,5.51,6054686552.59,3599885593.79,4411670800.53,60042935758.93,16383159877.77,54450459133.32,8432323187.1,3397294147.83,6947395042.32,19.7,10.64,16.45,19.836699,17.738149,23.278504,1.392693,0.943722,1.574776,-28.1,726062.0,22.88,60.55,36.0,44.12,600.43,163.83,544.5,84.32,33.97,69.47,0.0,0.0,0.0,
神火股份,000933,A股-SZ,煤铝,A/B,煤铝双主业,神火股份,22.52,22.06,22.06,623346,20260706161442,0.46,2.09,22.86,22.00,140002,2.77,9.07,506.12,506.48,2.02,24.27,19.85,20.77,5.53,4005359185.05,2289691883.17,4306779295.81,41240761541.38,12408562541.64,38372663537.44,8743217687.83,4039054901.65,7718522005.69,17.49,8.9,20.77,42.18804,40.88105,48.569913,2.182879,1.764016,1.792179,-27.52,538906.0,22.52,40.05,22.9,43.07,412.41,124.09,383.73,87.43,40.39,77.19,0.0,0.0,0.0,
西部矿业,601168,A股-SH,铜铅锌,A/B,有色资源弹性,西部矿业,28.65,29.22,29.22,541886,20260706161455,-0.57,-1.95,30.33,28.60,159324,2.27,15.44,682.73,682.73,3.45,32.14,26.30,22.15,10.76,3642686772.0,1586046550.0,2931546224.0,61686769908.0,18723663755.0,50025596656.0,10211012503.0,4103164771.0,8246465412.0,20.5,8.26,18.23,57.50103,58.515855,58.5691,2.803154,2.587039,2.813008,9.48,596378.0,28.65,36.43,15.86,29.32,616.87,187.24,500.26,102.11,41.03,82.46,0.0,0.0,0.0,
洛阳钼业,603993,A股-SH,铜钴钼,A/C,全球化矿业，周期与地缘风险,洛阳钼业,18.31,18.52,18.53,2996032,20260706161444,-0.21,-1.13,19.21,18.28,563975,1.72,16.22,3197.08,3917.30,4.73,20.37,16.67,27.09,12.62,20338750797.53,7760054120.3,13532035002.94,206683649050.43,66403195123.35,213028664834.79,20843060708.78,11329218827.44,32386655541.72,26.61,9.06,20.96,50.338151,52.03032,49.515955,1.024795,1.45994,2.393332,0.38,2992572.0,18.31,203.39,77.6,135.32,2066.84,664.03,2130.29,208.43,113.29,323.87,0.0,0.0,0.0,
铜陵有色,000630,A股-SZ,铜,A/B,铜冶炼属性重,铜陵有色,6.30,6.47,6.47,3884741,20260706161439,-0.17,-2.63,6.68,6.28,250714,3.49,32.12,702.01,844.80,2.29,7.12,5.82,7.02,15.78,2415007111.01,1338454558.16,2808954860.02,172824678779.99002,64699303698.58,145620089482.52,-226940948.72,6631544270.36,1387805102.53,6.59,3.59,8.43,53.597053,54.342321,47.795397,-0.093971,4.954627,0.54651,5.35,4358905.0,6.3,24.15,13.38,28.09,1728.25,646.99,1456.2,-2.27,66.32,13.88,-0.0,0.0,0.0,
淮北矿业,600985,A股-SH,煤炭/焦煤,A/B,焦煤煤化工,淮北矿业,14.59,14.27,14.24,462929,20260706161458,0.32,2.24,14.70,13.75,65976,1.72,30.10,392.95,392.95,0.95,15.70,12.84,3.11,20.01,1505991672.15,490989787.06,4855430589.18,41238019308.63,10196553964.85,65874987763.13,5427697559.17,1018431737.99,9062752479.38,3.59,1.18,11.95,48.786091,48.709342,46.577262,3.604068,2.074242,1.866518,5.88,281599.0,14.59,15.06,4.91,48.55,412.38,101.97,658.75,54.28,10.18,90.63,0.0,0.0,0.0,
山金国际,000975,A股-SZ,黄金/有色,A/B,黄金弹性,山金国际,20.21,19.84,19.70,1398774,20260706161436,0.37,1.86,21.47,19.38,289410,5.54,15.26,509.95,560.33,3.78,21.82,17.86,22.61,10.05,2971658678.29,1393833455.85,2173114887.58,17098604999.31,5938046889.89,13585441104.66,4680085595.12,2489948596.15,3871259213.23,21.56,8.93,17.9,18.645086,22.643197,18.567429,1.574906,1.786403,1.781433,-34.0,474685.0,20.21,29.72,13.94,21.73,170.99,59.38,135.85,46.8,24.9,38.71,0.0,0.0,0.0,
郑煤机,601717,A股-SH,煤机设备,A/B,设备而非资源，列观察,中创智领,15.05,15.27,15.15,184728,20260706161436,-0.22,-1.44,15.44,15.00,28047,1.20,6.56,232.10,268.70,1.18,16.80,13.74,16.35,7.53,4293392302.84,892103239.54,3933836140.1,41385128009.24,9539426567.09,37052041895.35,2404162654.1,160908113.96,3942477742.72,18.88,3.62,18.34,51.483431,48.79704,53.165494,0.559968,0.180369,1.002196,-26.87,211090.0,15.05,42.93,8.92,39.34,413.85,95.39,370.52,24.04,1.61,39.42,0.0,0.0,0.0,
中国稀土,000831,A股-SZ,稀土,B/C,资源主题强，估值和盈利波动大,中国稀土,51.14,54.45,54.45,511669,20260706161403,-3.31,-6.08,55.25,51.00,268161,4.82,227.54,542.71,542.71,11.04,59.90,49.01,4.82,97.92,172576348.02,138554049.7,-286907149.06,3182090218.84,820743355.3,3027348207.35,465839138.31,85790387.51,-594099718.78,3.65,2.84,-6.16,13.104675,11.045756,12.246876,2.699322,0.619183,,5.92,456712.0,51.14,1.73,1.39,-2.87,31.82,8.21,30.27,4.66,0.86,-5.94,0.0,0.0,,
北方稀土,600111,A股-SH,稀土,A/C,稀土龙头但估值与政策强相关,北方稀土,47.31,48.57,48.66,730277,20260706161435,-1.26,-2.59,48.77,47.10,348326,2.02,62.46,1710.29,1710.29,6.81,53.43,43.71,10.70,46.59,2251272073.68,917740662.2,1004276921.89,42563083233.34,11858916345.03,32966314898.03,1114870322.24,-271779037.32,1025577551.59,9.561,3.65,4.57,35.885055,36.831282,37.95741,0.495217,-0.296139,1.021209,-2.41,1254584.0,47.31,22.51,9.18,10.04,425.63,118.59,329.66,11.15,-2.72,10.26,0.0,-0.0,0.0,
驰宏锌锗,600497,A股-SH,铅锌锗,A/B,有色资源中盘股,驰宏锌锗,10.75,10.95,11.06,2524838,20260706161450,-0.20,-1.83,11.68,10.69,281204,5.01,45.05,541.84,541.84,3.22,12.05,9.86,7.00,20.47,1035324120.59,661848235.92,1292679297.89,24059461625.68,6361273541.32,18802634072.1,3762869255.26,881144283.74,2365754608.33,6.3252,3.9567,7.7882,27.703177,27.879002,28.766236,3.634484,1.331338,1.830117,34.71,2164248.0,10.75,10.35,6.62,12.93,240.59,63.61,188.03,37.63,8.81,23.66,0.0,0.0,0.0,
厦门钨业,600549,A股-SH,钨钼稀土材料,A/B,材料属性较重,厦门钨业,70.84,75.05,74.68,900111,20260706161456,-4.21,-5.61,76.96,70.00,654586,5.79,37.08,1100.81,1124.65,6.37,82.56,67.55,16.58,25.40,2309374213.97,1106815989.81,1712058883.1,46264582688.14,15743173489.11,35372839591.05,2970674635.16,-2569857889.46,3058429755.61,13.99,6.24,14.31,52.408557,55.617037,46.438601,1.286354,-2.321847,1.793267,26.5,815845.0,70.84,23.09,11.07,17.12,462.65,157.43,353.73,29.71,-25.7,30.58,0.0,-0.0,0.0,
赤峰黄金,600988,A股-SH,黄金,A/B,民营黄金弹性,赤峰黄金,31.60,31.23,31.23,1483166,20260706161457,0.37,1.18,33.59,31.23,483333,8.91,16.74,525.80,600.53,4.39,34.35,28.11,25.10,15.19,,,,,,,,,,,,,,,,,,,-30.32,535398.0,31.6,,,,,,,,,,,,,JSONDecodeError('Expecting value: line 1 column 1 (char 0)')
中国海洋石油,00883,HK,油气,C,港股油气上游高股息参考,中国海洋石油,21.040,21.180,21.100,72475046.0,2026/07/06 16:08:36,-0.140,-0.66,21.240,20.720,1519471396.380,0,7.40,9371.2063,10000.3023,CNOOC,6.08,30.430,10.73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国神华H,01088,HK,煤炭一体化,C,A/H折价与股息税比较,中国神华,41.020,40.000,39.600,13464197.0,2026/07/06 16:08:36,1.020,2.55,41.100,39.540,547839918.500,0,14.82,1385.4431,8897.0060,CHINA SHENHUA,5.29,48.435,7.90,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
紫金矿业H,02899,HK,铜金矿业,C,A/H估值比较,紫金矿业,31.200,30.720,31.400,55206126.0,2026/07/06 16:08:36,0.480,1.56,31.860,30.680,1723923283.110,0,14.47,1868.5435,8296.3030,ZIJIN MINING,2.17,46.543,13.75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exxon Mobil,XOM,US,油气,C,全球油气巨头参考,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chevron,CVX,US,油气,C,全球油气巨头参考,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NextEra Energy,NEE,US,公用事业/新能源,C,美股电力公用事业估值参考,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Company,SO,US,公用事业,C,美股电力公用事业估值参考,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freeport-McMoRan,FCX,US,铜金,C,全球铜矿参考,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Copper,SCCO,US,铜,C,全球铜矿参考,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
