evidence_id,subject,period,first_public_date,title,local_path,original_url,source_class,role,admission,notes
SECONDARY-2018-CNR,国电南瑞,2018年度,2019-06-25,央广网信息通信业务报道,research/source_docs/国电南瑞/asof-20211231/secondary/cnr_600406_2018_results_20190625.html,http://finance.cnr.cn/gundong/20190625/t20190625_524663290.shtml,独立媒体报道,财务二源,准入,
SECONDARY-2018-AUDIT,国电南瑞,2018年度,2021-08-06,2018年度独立审计报告,research/source_docs/国电南瑞/asof-20211231/secondary/600406_2018_audit_report_republished_20210806.pdf,http://static.sse.com.cn/bond/bridge2/disclosure/announcement/c/202108/017588_20210806_9ILG.pdf,外部审计报告,现金流二源,准入,报告签署日2019-04-25；截止日前债券披露包再次公开
SECONDARY-2019-AUDIT,国电南瑞,2019年度,2021-07-19,2019年度独立审计报告,research/source_docs/国电南瑞/asof-20211231/secondary/600406_2019_audit_report_republished_20210719.pdf,http://static.sse.com.cn/bond/bridge2/disclosure/announcement/c/202107/017588_20210719_Q1UM.pdf,外部审计报告,现金流二源,准入,报告签署日2020-04-28
SECONDARY-2020-AUDIT,国电南瑞,2020年度,2021-07-19,2020年度独立审计报告,research/source_docs/国电南瑞/asof-20211231/secondary/600406_2020_audit_report_republished_20210719.pdf,http://static.sse.com.cn/bond/bridge2/disclosure/announcement/c/202107/017588_20210719_M69H.pdf,外部审计报告,现金流二源,准入,报告签署日2021-04-21
SECONDARY-RATING,国电南瑞,2017-2019,2020-05-21,公开发行2020年公司债券信用评级报告,research/source_docs/国电南瑞/asof-20211231/secondary/600406_credit_rating_20200521.pdf,http://static.sse.com.cn/disclosure/bond/announcement/company/c/2020-05-21/3873889237991445727773411.pdf,独立评级机构报告,财务二源及行业反证,准入,
SECONDARY-2020-REVIEW,国电南瑞,2020年度,2021-04-23,东吴证券2020年年报点评,research/source_docs/国电南瑞/asof-20211231/secondary/600406_2020_annual_review_20210423.pdf,https://pdf.dfcfw.com/pdf/H3_AP202104241487418768_1.pdf?1619341148000.pdf=,独立券商研报,财务及估值二源,准入,
SECONDARY-2020-NEWS,国电南瑞,2017-2020历史序列,2021-04-26,腾讯新闻转载长江商报经营报道,research/source_docs/国电南瑞/asof-20211231/secondary/tencent_news_600406_2020_results_20210426.html,https://news.qq.com/rain/a/20210426A03XM400,独立媒体报道,财务及经营二源,准入,关联销售数字与官方口径冲突处禁用
SECONDARY-2021-Q3,国电南瑞,2021年1-9月,2021-10-31,西部证券2021年三季报点评,research/source_docs/国电南瑞/asof-20211231/secondary/westsec_600406_2021_q3_review_20211031.html,https://www.hibor.com.cn/repinfodetail_1101420.html,独立券商研报,财务二源,准入,
SECONDARY-RATING-2019,国电南瑞,2016-2018,2019-07-11,2019年度主体信用评级报告,research/source_docs/国电南瑞/asof-20211231/secondary/600406_credit_rating_2019_20190711.pdf,http://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?contentId=1423677&mode=open&priority=0,独立评级机构报告,2016-2018财务二源,准入,第22页财务表；2016采用追溯调整数
SECONDARY-RATING-2021,国电南瑞,2018-2021Q1,2021-06-21,公开发行2020年公司债券跟踪评级报告（2021）,research/source_docs/国电南瑞/asof-20211231/secondary/600406_credit_rating_tracking_20210621.pdf,http://qxb-pdf-osscache.qixin.com/AnBaseinfo/4a78cc62b340e656dd1af6457054241d.pdf,独立评级机构报告,2020资本支出二源,准入-镜像,第14页财务表；评级报告日期早于截止日
SECONDARY-SEGMENT-2020,国电南瑞,2020年度,2021-04-25,二次龙头地位稳固两翼齐飞面向未来,research/source_docs/国电南瑞/asof-20211231/secondary/chyxx_600406_2020_results_20210425.html,https://www.chyxx.com/qiye/202104/947573.html,独立券商研报转载,分部毛利率二源,准入-仅文章主体,动态网页仅准入2021-04-25文章主体
SECONDARY-SECSTAR-HIST,国电南瑞,2020Q3及2021Q3历史字段,2021-10-30,证券之星历史财务报表,,https://stock.quote.stockstar.com/finance/cashflow_600406.shtml,独立财务数据平台,现金流与资产负债表二源,准入-仅历史报告期字段,动态页面的截止日后字段全部排除
POLICY-POWER,电力工业统计,2021年1-11月,2021-12-17,国家能源局发布1-11月份全国电力工业统计数据,research/source_docs/国电南瑞/asof-20211231/policy/nea_20211217_power_industry.html,http://www.nea.gov.cn/2021-12/17/c_1310378945.htm,政府统计,行业主来源,准入,
POLICY-CARBON,双碳顶层政策,长期政策,2021-10-24,关于完整准确全面贯彻新发展理念做好碳达峰碳中和工作的意见,research/source_docs/国电南瑞/asof-20211231/policy/gov_20211024_carbon_peaking_neutrality.html,https://www.gov.cn/zhengce/2021-10/24/content_5644613.htm,中央政策,行业主来源,准入,
POLICY-STORAGE-GUIDE,新型储能,指导意见,2021-07-23,关于加快推动新型储能发展的指导意见,research/source_docs/国电南瑞/asof-20211231/policy/ndrc_20210723_new_energy_storage_guidance.html,https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/202107/t20210723_1291321.html,部委政策,行业主来源,准入,
POLICY-STORAGE-MGMT,新型储能,项目管理,2021-09-24,新型储能项目管理规范暂行,research/source_docs/国电南瑞/asof-20211231/policy/nea_20210924_new_energy_storage_project_management.html,http://zfxxgk.nea.gov.cn/2021-09/24/c_1310215100.htm,部委政策,行业主来源,准入,
POLICY-PRICE,电价市场化改革,政策通知,2021-10-12,进一步深化燃煤发电上网电价市场化改革的通知,research/source_docs/国电南瑞/asof-20211231/policy/ndrc_20211012_coal_power_price_market_reform.html,https://www.ndrc.gov.cn/xwdt/tzgg/202110/t20211012_1299462.html,部委政策,行业主来源,准入,
MARKET-TENCENT,国电南瑞,2021-12-31,2021-12-31,腾讯历史K线,,https://web.ifzq.gtimg.cn/appstock/app/kline/kline?param=sh600406%2Cday%2C2021-12-31%2C2021-12-31%2C1,独立行情源,价格主来源,准入,仅取历史day数组
MARKET-SOHU,国电南瑞,2021-12-31,2021-12-31,搜狐历史行情,,https://q.stock.sohu.com/hisHq?code=cn_600406&start=20211231&end=20211231&stat=1&order=D&period=d,独立行情源,价格二源,准入,
MARKET-SINA-SHARES,国电南瑞,2021-11-05历史股本,2021-11-03,新浪财经历史股本表,,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_StockStructure/stockid/600406.phtml,独立财务数据平台,基准日股本二源,准入-仅历史行,仅采用公告日期2021-11-03及变动日期2021-11-05对应行
MARKET-TENCENT-000400,许继电气,2021-12-31,2021-12-31,腾讯历史K线,,https://web.ifzq.gtimg.cn/appstock/app/kline/kline?param=sz000400%2Cday%2C2021-12-31%2C2021-12-31%2C1,独立行情源,可比价格主来源,准入-仅历史day数组,
MARKET-SOHU-000400,许继电气,2021-12-31,2021-12-31,搜狐历史行情,,https://q.stock.sohu.com/hisHq?code=cn_000400&start=20211231&end=20211231&stat=1&order=D&period=d,独立行情源,可比价格二源,准入-仅历史字段,
MARKET-TENCENT-601126,四方股份,2021-12-31,2021-12-31,腾讯历史K线,,https://web.ifzq.gtimg.cn/appstock/app/kline/kline?param=sh601126%2Cday%2C2021-12-31%2C2021-12-31%2C1,独立行情源,可比价格主来源,准入-仅历史day数组,
MARKET-SOHU-601126,四方股份,2021-12-31,2021-12-31,搜狐历史行情,,https://q.stock.sohu.com/hisHq?code=cn_601126&start=20211231&end=20211231&stat=1&order=D&period=d,独立行情源,可比价格二源,准入-仅历史字段,
MARKET-TENCENT-000682,东方电子,2021-12-31,2021-12-31,腾讯历史K线,,https://web.ifzq.gtimg.cn/appstock/app/kline/kline?param=sz000682%2Cday%2C2021-12-31%2C2021-12-31%2C1,独立行情源,可比价格主来源,准入-仅历史day数组,
MARKET-SOHU-000682,东方电子,2021-12-31,2021-12-31,搜狐历史行情,,https://q.stock.sohu.com/hisHq?code=cn_000682&start=20211231&end=20211231&stat=1&order=D&period=d,独立行情源,可比价格二源,准入-仅历史字段,
MARKET-TENCENT-600268,国电南自,2021-12-31,2021-12-31,腾讯历史K线,,https://web.ifzq.gtimg.cn/appstock/app/kline/kline?param=sh600268%2Cday%2C2021-12-31%2C2021-12-31%2C1,独立行情源,可比价格主来源,准入-仅历史day数组,
MARKET-SOHU-600268,国电南自,2021-12-31,2021-12-31,搜狐历史行情,,https://q.stock.sohu.com/hisHq?code=cn_600268&start=20211231&end=20211231&stat=1&order=D&period=d,独立行情源,可比价格二源,准入-仅历史字段,
EXCLUDED-2021-AR,国电南瑞,2021年度,2022-04-29,2021年年度报告,research/source_docs/国电南瑞/国电南瑞-2021年年度报告.pdf,,发行人定期报告,禁用,禁用,文件损坏且首次公开日晚于认知时点
DERIVED-TEXT-RULE,目录规则,全部,,同名TXT解析件,research/source_docs/国电南瑞/asof-20211231/*.txt,,派生文本,检索辅助,非独立来源,同源TXT不得充当第二来源
